function	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
K08967	0.0	0.0	0.0	12.0	16.0	58.0	33.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0
K08970	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08972	3169.5	6387.55	3674.92	4962.5	3291.0	27250.25	6250.25	5483.18	4545.0	4602.299999999999	3675.1000000000004	4026.35	4315.0	6259.4	6073.67	3693.3	5094.0	4691.5	4068.4300000000003	5572.0	3794.8	8361.0	6441.67	6279.75	1529.0	6908.5	7046.3	2918.25	11985.0	5986.0	8021.5	3986.2000000000003	6106.969999999999	7292.5	5904.6	9649.75	6702.0	9256.5
K08973	2477.0	2745.55	4585.25	2408.0	3412.0	15284.75	1977.25	2965.35	2411.0	1694.8000000000002	2964.1000000000004	1683.35	2531.0	5652.9	3713.0	2140.3	2217.0	3116.0	5304.35	2298.0	5450.3	4622.0	4172.0	2385.75	3100.0	2544.0	7659.3	2261.0	4487.0	2768.0	1977.0	1123.6999999999998	4721.799999999999	6544.0	2388.6	2558.75	4514.5	2505.0
K08974	1589.5900000000001	2331.3	1940.92	2336.5	2348.83	8737.5	1946.25	1870.27	1384.25	1956.72	2097.6	1748.85	1201.92	2929.82	1540.67	2139.05	1389.3400000000001	1104.17	2628.36	1338.17	1736.63	747.41	1447.75	3232.17	1051.25	1865.75	1562.3	1336.75	3619.34	822.6700000000001	493.84000000000003	1803.6999999999998	1480.8	889.3299999999999	1069.18	705.25	1137.08	831.5
K08976	0.0	0.0	39.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	33.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08977	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	33.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K08978	3649.0	4270.55	4482.75	3326.0	2009.0	12839.25	3939.25	3911.35	2570.25	4374.799999999999	4790.35	4665.6	4369.5	5209.9	2230.0	3685.3	4519.0	3225.0	3214.85	6183.5	6609.3	6725.5	5884.5	5223.75	2695.5	5676.75	5123.8	3592.5	9378.5	3993.5	4762.0	3896.2	3304.8	5470.5	4936.85	6255.75	9092.5	3420.0
K08981	2265.0	5301.5	1898.67	3131.25	2805.5	21344.0	5339.0	4493.08	3814.25	3122.0	2332.5	2967.5	3417.0	4381.75	4381.67	3050.0	3947.75	3230.5	2360.33	4965.0	2885.5	7916.5	6080.42	3619.25	1349.75	6300.25	6378.25	2978.25	10526.5	6308.25	7846.5	3403.5	4646.92	7033.75	5553.0	8897.75	6092.0	8437.25
K08982	0.0	86.0	2.0	103.0	75.0	0.0	0.0	57.0	308.0	64.0	2.0	0.0	2.0	66.0	0.0	0.0	25.0	0.0	78.0	0.0	0.0	365.0	0.0	57.0	0.0	0.0	80.0	66.0	79.0	57.0	131.0	0.0	93.0	0.0	0.0	0.0	0.0	150.0
K08983	0.0	0.0	163.0	0.0	0.0	99.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	79.0	0.0	379.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0
K08984	1557.0	836.0	488.0	978.0	2105.0	2480.0	130.0	479.2	421.0	344.0	701.0	652.0	616.0	776.0	1616.0	649.0	621.0	422.0	2335.0	1702.0	111.1	1845.0	1419.0	506.0	1941.0	130.0	3988.0	355.0	1008.0	1310.0	725.0	536.0	2060.0	1903.0	573.0	1292.0	517.0	57.0
