	Fl_1	Fl_10	Fl_11	Fl_12	Fl_13	Fl_14	Fl_15	Fl_16	Fl_17	Fl_18	Fl_19	Fl_2	Fl_3	Fl_4	Fl_5	Fl_6	Fl_7	Fl_8	Fl_9	Fl_Arg_1	Fl_Arg_10	Fl_Arg_11	Fl_Arg_12	Fl_Arg_13	Fl_Arg_14	Fl_Arg_15	Fl_Arg_16	Fl_Arg_17	Fl_Arg_18	Fl_Arg_19	Fl_Arg_2	Fl_Arg_3	Fl_Arg_4	Fl_Arg_5	Fl_Arg_6	Fl_Arg_7	Fl_Arg_8	Fl_Arg_9
5c24d16e2b2ecaabb86677ebacfa75c5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	57.0	138.0	0.0	0.0	0.0	0.0
d88a231f38c1454583efc1f5a126fefa	0.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	85.0	0.0
019ba05d93feda068280269eb963e18b	0.0	20.0	0.0	41.0	0.0	27.0	28.0	0.0	37.0	0.0	0.0	0.0	19.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29465d62f4c85aa77b8589b9410afb3d	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
99116b1008a0b6f0ea031e755b4e2e15	0.0	0.0	0.0	0.0	0.0	28.0	54.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e7dc7cbfdb3757daf1ef3d5a9f38e1bf	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	12.0	0.0	29.0	79.0	0.0	0.0	0.0	0.0	7.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	87.0	0.0	0.0	0.0	0.0	12.0	0.0
008f28f1de3472d23ed431024bc796e7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	39.0	45.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	15.0	0.0	0.0	0.0	0.0	0.0
34d4b92775a9d271e78cf87c99af88a2	0.0	0.0	21.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	53.0	0.0	11.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
684e7bf84fbaae7caea740be65aa9bbc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0
e203fcfef5d86d5f6ebabe36b9487029	56.0	0.0	0.0	22.0	0.0	8.0	43.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
